-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       25.696s        87.37%       25.696s      19.526ms          1316  
kernel_cutlass_kernel_b12xmoefusedw4a16kernelW4A16Fu...         0.00%       0.000us         0.00%       0.000us       0.000us        1.481s         5.03%        1.481s       2.299ms           644  
                               mhc_post_tilelang_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     246.771ms         0.84%     246.771ms     335.287us           736  
void sparse_mla_prefill_mg_dual_kernel<(ModelType)1,...         0.00%       0.000us         0.00%       0.000us       0.000us     245.101ms         0.83%     245.101ms       1.459ms           168  
             mhc_pre_big_fuse_with_norm_tilelang_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     128.947ms         0.44%     128.947ms     100.114us          1288  
void sparse_mla_prefill_mg_dual_kernel<(ModelType)1,...         0.00%       0.000us         0.00%       0.000us       0.000us     122.066ms         0.42%     122.066ms     762.915us           160  
void deep_gemm::sm120_tf32_hc_prenorm_gemm_impl<24u,...         0.00%       0.000us         0.00%       0.000us       0.000us     111.718ms         0.38%     111.718ms     162.380us           688  
void vllm::deepseek_v4_fused_ops::fusedDeepseekV4QNo...         0.00%       0.000us         0.00%       0.000us       0.000us     106.456ms         0.36%     106.456ms     330.610us           322  
void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<0u, 122...         0.00%       0.000us         0.00%       0.000us       0.000us      87.263ms         0.30%      87.263ms     253.671us           344  
void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<0u, 153...         0.00%       0.000us         0.00%       0.000us       0.000us      85.541ms         0.29%      85.541ms     120.142us           712  
kernel_cutlass_kernel_b12xmoefusedw4a16kernelW4A16To...         0.00%       0.000us         0.00%       0.000us       0.000us      83.866ms         0.29%      83.866ms     130.226us           644  
void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<0u, 409...         0.00%       0.000us         0.00%       0.000us       0.000us      65.330ms         0.22%      65.330ms     189.913us           344  
void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<0u, 102...         0.00%       0.000us         0.00%       0.000us       0.000us      64.634ms         0.22%      64.634ms     187.889us           344  
                     _fused_inv_rope_fp8_quant_per_head         0.00%       0.000us         0.00%       0.000us       0.000us      56.316ms         0.19%      56.316ms      87.447us           644  
           _compute_global_topk_indices_and_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      52.800ms         0.18%      52.800ms     116.299us           454  
