2026/08/29 23:04:55.547, 2515 MHz, 50, 15.05 W, 0 %
2026/08/29 23:05:00.552, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:05:05.553, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:05:10.554, 2515 MHz, 50, 14.92 W, 0 %
2026/08/29 23:05:15.555, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:05:20.556, 2515 MHz, 50, 14.91 W, 0 %
2026/08/29 23:05:25.557, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:05:30.557, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:05:35.558, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:05:40.558, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:05:45.559, 2515 MHz, 50, 14.82 W, 0 %
2026/08/29 23:05:50.560, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:05:55.561, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:06:00.562, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:06:05.562, 2515 MHz, 50, 14.79 W, 0 %
2026/08/29 23:06:10.564, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:06:15.565, 2515 MHz, 50, 14.71 W, 0 %
2026/08/29 23:06:20.565, 2515 MHz, 50, 14.74 W, 0 %
2026/08/29 23:06:25.566, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:06:30.567, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:06:35.567, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:06:40.568, 2515 MHz, 50, 14.83 W, 0 %
2026/08/29 23:06:45.569, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:06:50.569, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:06:55.571, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:07:00.572, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:07:05.573, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:07:10.574, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:07:15.575, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:07:20.576, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:07:25.577, 2515 MHz, 50, 14.82 W, 0 %
2026/08/29 23:07:30.577, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:07:35.579, 2515 MHz, 50, 14.80 W, 0 %
2026/08/29 23:07:40.579, 2515 MHz, 50, 14.77 W, 0 %
2026/08/29 23:07:45.580, 2515 MHz, 50, 14.82 W, 0 %
2026/08/29 23:07:50.581, 2515 MHz, 50, 14.80 W, 0 %
2026/08/29 23:07:55.582, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:08:00.583, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:08:05.584, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:08:10.585, 2515 MHz, 50, 14.77 W, 0 %
2026/08/29 23:08:15.586, 2515 MHz, 50, 14.74 W, 0 %
2026/08/29 23:08:20.586, 2515 MHz, 50, 14.78 W, 0 %
2026/08/29 23:08:25.587, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:08:30.588, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:08:35.589, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:08:40.590, 2515 MHz, 50, 14.79 W, 0 %
2026/08/29 23:08:45.591, 2515 MHz, 50, 14.77 W, 0 %
2026/08/29 23:08:50.592, 2515 MHz, 50, 14.79 W, 0 %
2026/08/29 23:08:55.593, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:09:00.593, 2515 MHz, 50, 14.79 W, 0 %
2026/08/29 23:09:05.595, 2515 MHz, 50, 14.82 W, 0 %
2026/08/29 23:09:10.595, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:09:15.596, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:09:20.597, 2515 MHz, 50, 14.73 W, 0 %
2026/08/29 23:09:25.598, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:09:30.599, 2515 MHz, 50, 14.75 W, 0 %
2026/08/29 23:09:35.600, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:09:40.601, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:09:45.601, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:09:50.601, 2515 MHz, 50, 14.78 W, 0 %
