2026/08/30 09:03:48.823, 2515 MHz, 52, 15.32 W, 0 %
2026/08/30 09:03:53.833, 2515 MHz, 56, 20.72 W, 96 %
2026/08/30 09:03:58.833, 2476 MHz, 60, 56.79 W, 96 %
2026/08/30 09:04:03.834, 2496 MHz, 58, 33.73 W, 94 %
2026/08/30 09:04:08.835, 2476 MHz, 63, 52.31 W, 96 %
2026/08/30 09:04:13.835, 2496 MHz, 61, 33.97 W, 93 %
2026/08/30 09:04:18.836, 2470 MHz, 65, 48.28 W, 96 %
2026/08/30 09:04:23.838, 2463 MHz, 67, 58.39 W, 96 %
2026/08/30 09:04:28.838, 2496 MHz, 62, 33.90 W, 94 %
2026/08/30 09:04:33.839, 2470 MHz, 68, 58.21 W, 96 %
2026/08/30 09:04:38.841, 2476 MHz, 64, 34.45 W, 94 %
2026/08/30 09:04:43.842, 2470 MHz, 66, 54.82 W, 96 %
2026/08/30 09:04:48.843, 2476 MHz, 65, 35.54 W, 94 %
2026/08/30 09:04:53.844, 2470 MHz, 69, 58.41 W, 95 %
2026/08/30 09:04:58.845, 2476 MHz, 66, 35.52 W, 94 %
2026/08/30 09:05:03.846, 2470 MHz, 70, 54.80 W, 96 %
2026/08/30 09:05:08.847, 2470 MHz, 69, 56.59 W, 96 %
2026/08/30 09:05:13.847, 2476 MHz, 67, 35.51 W, 94 %
2026/08/30 09:05:18.849, 2463 MHz, 71, 55.95 W, 96 %
2026/08/30 09:05:23.850, 2476 MHz, 67, 35.62 W, 94 %
2026/08/30 09:05:28.851, 2450 MHz, 71, 57.49 W, 95 %
2026/08/30 09:05:33.853, 2476 MHz, 68, 36.03 W, 91 %
2026/08/30 09:05:38.853, 2470 MHz, 72, 45.56 W, 82 %
2026/08/30 09:05:43.854, 2450 MHz, 72, 59.91 W, 96 %
2026/08/30 09:05:48.855, 2476 MHz, 68, 36.13 W, 94 %
2026/08/30 09:05:53.856, 2450 MHz, 73, 60.02 W, 96 %
2026/08/30 09:05:58.857, 2476 MHz, 69, 36.44 W, 94 %
2026/08/30 09:06:03.858, 2450 MHz, 73, 59.01 W, 96 %
2026/08/30 09:06:08.859, 2470 MHz, 71, 49.89 W, 96 %
2026/08/30 09:06:13.860, 2476 MHz, 70, 36.56 W, 94 %
2026/08/30 09:06:18.861, 2450 MHz, 74, 60.47 W, 96 %
2026/08/30 09:06:23.862, 2476 MHz, 70, 36.63 W, 94 %
2026/08/30 09:06:28.863, 2450 MHz, 74, 58.96 W, 96 %
2026/08/30 09:06:33.864, 2476 MHz, 71, 37.01 W, 94 %
2026/08/30 09:06:38.865, 2476 MHz, 74, 39.56 W, 93 %
2026/08/30 09:06:43.865, 2450 MHz, 76, 60.81 W, 96 %
2026/08/30 09:06:48.866, 2476 MHz, 71, 37.06 W, 93 %
2026/08/30 09:06:53.867, 2450 MHz, 75, 60.49 W, 96 %
2026/08/30 09:06:58.868, 2476 MHz, 72, 37.36 W, 94 %
2026/08/30 09:07:03.869, 2450 MHz, 75, 55.25 W, 96 %
2026/08/30 09:07:08.870, 2450 MHz, 77, 59.78 W, 95 %
2026/08/30 09:07:13.871, 2476 MHz, 71, 36.77 W, 94 %
2026/08/30 09:07:18.872, 2450 MHz, 76, 61.12 W, 96 %
2026/08/30 09:07:23.873, 2457 MHz, 72, 37.05 W, 94 %
2026/08/30 09:07:28.875, 2450 MHz, 77, 61.18 W, 96 %
2026/08/30 09:07:33.876, 2457 MHz, 73, 37.30 W, 94 %
2026/08/30 09:07:38.876, 2457 MHz, 72, 37.23 W, 94 %
2026/08/30 09:07:43.877, 2450 MHz, 77, 61.11 W, 96 %
2026/08/30 09:07:48.878, 2457 MHz, 72, 37.32 W, 93 %
2026/08/30 09:07:53.879, 2450 MHz, 76, 61.38 W, 96 %
2026/08/30 09:07:58.880, 2457 MHz, 72, 37.49 W, 93 %
2026/08/30 09:08:03.881, 2450 MHz, 75, 44.62 W, 94 %
2026/08/30 09:08:08.882, 2450 MHz, 77, 61.61 W, 96 %
2026/08/30 09:08:13.883, 2457 MHz, 73, 37.19 W, 94 %
2026/08/30 09:08:18.884, 2450 MHz, 78, 61.07 W, 96 %
2026/08/30 09:08:23.884, 2457 MHz, 73, 37.44 W, 94 %
2026/08/30 09:08:28.886, 2450 MHz, 77, 60.65 W, 96 %
2026/08/30 09:08:33.887, 2450 MHz, 74, 55.24 W, 96 %
2026/08/30 09:08:38.888, 2457 MHz, 73, 36.96 W, 94 %
2026/08/30 09:08:43.889, 2444 MHz, 77, 61.99 W, 95 %
2026/08/30 09:08:48.890, 2457 MHz, 73, 37.42 W, 93 %
2026/08/30 09:08:53.891, 2450 MHz, 77, 61.14 W, 96 %
2026/08/30 09:08:58.892, 2457 MHz, 74, 37.85 W, 94 %
2026/08/30 09:09:03.893, 2457 MHz, 73, 37.53 W, 94 %
2026/08/30 09:09:08.895, 2444 MHz, 79, 61.97 W, 96 %
2026/08/30 09:09:13.895, 2457 MHz, 74, 38.08 W, 94 %
2026/08/30 09:09:18.896, 2444 MHz, 77, 61.00 W, 96 %
2026/08/30 09:09:23.897, 2457 MHz, 74, 37.65 W, 91 %
2026/08/30 09:09:28.898, 2450 MHz, 78, 60.75 W, 96 %
2026/08/30 09:09:33.899, 2457 MHz, 74, 37.88 W, 94 %
2026/08/30 09:09:38.900, 2457 MHz, 74, 37.72 W, 93 %
2026/08/30 09:09:43.901, 2450 MHz, 78, 62.21 W, 96 %
2026/08/30 09:09:48.902, 2457 MHz, 74, 37.88 W, 94 %
2026/08/30 09:09:53.903, 2450 MHz, 79, 61.83 W, 96 %
2026/08/30 09:09:58.904, 2457 MHz, 74, 37.78 W, 93 %
2026/08/30 09:10:03.905, 2450 MHz, 77, 59.04 W, 96 %
2026/08/30 09:10:08.906, 2450 MHz, 76, 58.61 W, 96 %
2026/08/30 09:10:13.907, 2457 MHz, 74, 37.93 W, 93 %
2026/08/30 09:10:18.909, 2450 MHz, 78, 61.76 W, 96 %
2026/08/30 09:10:23.909, 2457 MHz, 75, 38.20 W, 94 %
2026/08/30 09:10:28.910, 2457 MHz, 73, 31.47 W, 76 %
2026/08/30 09:10:33.911, 2450 MHz, 78, 62.13 W, 96 %
2026/08/30 09:10:38.912, 2457 MHz, 74, 38.06 W, 91 %
2026/08/30 09:10:43.913, 2450 MHz, 76, 59.45 W, 96 %
2026/08/30 09:10:48.915, 2457 MHz, 74, 38.04 W, 95 %
2026/08/30 09:10:53.916, 2450 MHz, 75, 57.78 W, 96 %
2026/08/30 09:10:58.918, 2457 MHz, 74, 37.10 W, 93 %
2026/08/30 09:11:03.919, 2476 MHz, 70, 19.37 W, 0 %
2026/08/30 09:11:08.920, 2450 MHz, 76, 54.78 W, 96 %
2026/08/30 09:11:13.921, 2457 MHz, 73, 37.23 W, 94 %
2026/08/30 09:11:18.921, 2450 MHz, 76, 50.93 W, 96 %
2026/08/30 09:11:23.921, 2457 MHz, 74, 37.69 W, 93 %
2026/08/30 09:11:28.923, 2450 MHz, 76, 51.53 W, 96 %
2026/08/30 09:11:33.923, 2457 MHz, 74, 40.96 W, 94 %
2026/08/30 09:11:38.924, 2457 MHz, 71, 33.95 W, 94 %
2026/08/30 09:11:43.926, 2450 MHz, 75, 56.51 W, 96 %
2026/08/30 09:11:48.926, 2457 MHz, 74, 37.33 W, 93 %
2026/08/30 09:11:53.927, 2450 MHz, 77, 60.51 W, 96 %
2026/08/30 09:11:58.928, 2457 MHz, 74, 38.05 W, 94 %
2026/08/30 09:12:03.929, 2450 MHz, 79, 61.84 W, 96 %
